name,i1,i2,i3,i4,o1,o2,candidate_efficiency,candidate_efficient,KAT_efficiency,min_distance_to_false
RZE__to__KAT_cand_470,-0.12,6,11.3,7.950000000000001,0.3,1.3900000000000006,1.0,True,1.0,0.72
RZE__to__KAT_cand_543,-0.12,6,11.3,11.1,0.3,3.5,1.0,True,1.0,0.72
RZE__to__KAT_cand_523,-0.12,6,11.3,10.5,0.3,-0.7199999999999998,1.0,True,1.0,0.72
RZE__to__KAT_cand_522,-0.12,6,11.3,10.5,0.3,-2.83,1.0,True,1.0,0.72
RZE__to__KAT_cand_524,-0.12,6,11.3,10.5,0.3,1.3900000000000006,1.0,True,1.0,0.72
RZE__to__KAT_cand_489,-0.12,6,11.3,9.000000000000002,0.3,3.5,1.0,True,1.0,0.72
RZE__to__KAT_cand_561,-0.12,6,11.3,12.150000000000002,0.3,3.5,1.0,True,1.0,0.72
RZE__to__KAT_cand_562,-0.12,6,11.3,12.150000000000002,0.3,3.500000000000001,1.0,True,1.0,0.72
RZE__to__KAT_cand_577,-0.12,6,11.3,13.2,0.3,-0.7199999999999998,1.0,True,1.0,0.72
RZE__to__KAT_cand_488,-0.12,6,11.3,9.000000000000002,0.3,1.3900000000000006,1.0,True,1.0,0.72
RZE__to__KAT_cand_454,-0.12,6,11.3,6.9,0.3,3.500000000000001,1.0,True,1.0,0.72
RZE__to__KAT_cand_453,-0.12,6,11.3,6.9,0.3,3.5,1.0,True,1.0,0.72
RZE__to__KAT_cand_542,-0.12,6,11.3,11.1,0.3,1.3900000000000006,1.0,True,1.0,0.72
RZE__to__KAT_cand_468,-0.12,6,11.3,7.950000000000001,0.3,-2.83,1.0,True,1.0,0.72
RZE__to__KAT_cand_469,-0.12,6,11.3,7.950000000000001,0.3,-0.7199999999999998,1.0,True,1.0,0.72
RZE__to__KAT_cand_558,-0.12,6,11.3,12.150000000000002,0.3,-2.83,1.0,True,1.0,0.72
RZE__to__KAT_cand_560,-0.12,6,11.3,12.150000000000002,0.3,1.3900000000000006,1.0,True,1.0,0.72
RZE__to__KAT_cand_559,-0.12,6,11.3,12.150000000000002,0.3,-0.7199999999999998,1.0,True,1.0,0.72
RZE__to__KAT_cand_435,-0.12,6,11.3,5.850000000000001,0.3,3.5,1.0,True,1.0,0.72
RZE__to__KAT_cand_380,-0.12,6,11.3,2.7000000000000006,0.3,1.3900000000000006,1.0,True,1.0,0.72
RZE__to__KAT_cand_361,-0.12,6,11.3,2.7,0.3,-0.7199999999999998,1.0,True,1.0,0.72
RZE__to__KAT_cand_451,-0.12,6,11.3,6.9,0.3,-0.7199999999999998,1.0,True,1.0,0.72
RZE__to__KAT_cand_450,-0.12,6,11.3,6.9,0.3,-2.83,1.0,True,1.0,0.72
RZE__to__KAT_cand_579,-0.12,6,11.3,13.2,0.3,3.5,1.0,True,1.0,0.72
RZE__to__KAT_cand_580,-0.12,6,11.3,13.2,0.3,3.500000000000001,1.0,True,1.0,0.72
RZE__to__KAT_cand_578,-0.12,6,11.3,13.2,0.3,1.3900000000000006,1.0,True,1.0,0.72
RZE__to__KAT_cand_452,-0.12,6,11.3,6.9,0.3,1.3900000000000006,1.0,True,1.0,0.72
RZE__to__KAT_cand_598,-0.12,6,11.3,14.250000000000002,0.3,3.500000000000001,1.0,True,1.0,0.72
RZE__to__KAT_cand_576,-0.12,6,11.3,13.2,0.3,-2.83,1.0,True,1.0,0.72
RZE__to__KAT_cand_436,-0.12,6,11.3,5.850000000000001,0.3,3.500000000000001,1.0,True,1.0,0.72
RZE__to__KAT_cand_594,-0.12,6,11.3,14.250000000000002,0.3,-2.83,1.0,True,1.0,0.72
RZE__to__KAT_cand_597,-0.12,6,11.3,14.250000000000002,0.3,3.5,1.0,True,1.0,0.72
RZE__to__KAT_cand_434,-0.12,6,11.3,5.850000000000001,0.3,1.3900000000000006,1.0,True,1.0,0.72
RZE__to__KAT_cand_433,-0.12,6,11.3,5.850000000000001,0.3,-0.7199999999999998,1.0,True,1.0,0.72
