name,i1,i2,i3,i4,o1,o2,candidate_efficiency,candidate_efficient,SZZ_efficiency
RZE__to__SZZ_cand_126,0.4,6,11.3,1.3599999999999999,0.3,4.34,1.0000000000,true,0.7157894737
RZE__to__SZZ_cand_127,0.4,6,11.3,1.3599999999999999,0.3,4.76,1.0000000000,true,0.7157894737
RZE__to__SZZ_cand_128,0.4,6,11.3,1.3599999999999999,0.3,5.18,1.0000000000,true,0.7157894737
RZE__to__SZZ_cand_129,0.4,6,11.3,1.3599999999999999,0.3,5.6,1.0000000000,true,0.7157894737
RZE__to__SZZ_cand_130,0.4,6,11.3,1.63,0.3,2.24,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_131,0.4,6,11.3,1.63,0.3,2.66,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_132,0.4,6,11.3,1.63,0.3,3.08,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_133,0.4,6,11.3,1.63,0.3,3.5,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_134,0.4,6,11.3,1.63,0.3,3.92,1.0000000000,true,0.9191729323
RZE__to__SZZ_cand_135,0.4,6,11.3,1.63,0.3,4.2,1.0000000000,true,0.8578947368
RZE__to__SZZ_cand_136,0.4,6,11.3,1.63,0.3,4.34,1.0000000000,true,0.8578947368
RZE__to__SZZ_cand_137,0.4,6,11.3,1.63,0.3,4.76,1.0000000000,true,0.8578947368
RZE__to__SZZ_cand_138,0.4,6,11.3,1.63,0.3,5.18,1.0000000000,true,0.8578947368
RZE__to__SZZ_cand_139,0.4,6,11.3,1.63,0.3,5.6,1.0000000000,true,0.8578947368
RZE__to__SZZ_cand_140,0.4,6,11.3,1.9,0.3,2.24,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_141,0.4,6,11.3,1.9,0.3,2.66,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_142,0.4,6,11.3,1.9,0.3,3.08,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_143,0.4,6,11.3,1.9,0.3,3.5,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_144,0.4,6,11.3,1.9,0.3,3.92,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_145,0.4,6,11.3,1.9,0.3,4.2,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_146,0.4,6,11.3,1.9,0.3,4.34,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_147,0.4,6,11.3,1.9,0.3,4.76,1.0000000000,true,1.0000000000
RZE__to__SZZ_cand_148,0.4,6,11.3,1.9,0.3,5.18,1.0000000000,true,1.0000000000
