name,i1,i2,i3,i4,o1,o2,candidate_efficiency,candidate_efficient,POZ_efficiency,min_distance_to_false
RZE_cand_7284_cand_4913,0.5916000000000001,6,11.3,1.7000000000000002,0.3,6.464399999999998,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_9132,0.6066000000000001,6,11.3,2.380000000000001,0.3,6.626399999999998,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_6245,0.5916000000000001,6,11.3,2.1800000000000006,0.3,6.464399999999998,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_15795,0.6516000000000002,6,11.3,2.2600000000000007,0.3,7.112399999999997,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_17350,0.6666000000000002,6,11.3,1.9800000000000004,0.3,7.274399999999997,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_11020,0.6216000000000002,6,11.3,2.2200000000000006,0.3,6.7883999999999975,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_22236,0.6966000000000002,6,11.3,2.0600000000000005,0.3,7.598399999999997,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_5357,0.5916000000000001,6,11.3,1.8600000000000003,0.3,6.464399999999998,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_16906,0.6666000000000002,6,11.3,1.8200000000000005,0.3,7.274399999999997,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_10465,0.6216000000000002,6,11.3,2.0200000000000005,0.3,6.7883999999999975,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_18016,0.6666000000000002,6,11.3,2.2200000000000006,0.3,7.274399999999997,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_249,0.5616000000000001,6,11.3,1.7000000000000002,0.3,6.140399999999998,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_7245,0.6066000000000001,6,11.3,1.7000000000000002,0.3,6.626399999999998,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_8799,0.6066000000000001,6,11.3,2.2600000000000007,0.3,6.626399999999998,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_19571,0.6816000000000002,6,11.3,1.9400000000000004,0.3,7.436399999999997,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_360,0.5616000000000001,6,11.3,1.7400000000000002,0.3,6.140399999999998,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_5579,0.5916000000000001,6,11.3,1.9400000000000004,0.3,6.464399999999998,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_13796,0.6366000000000002,6,11.3,2.380000000000001,0.3,6.9503999999999975,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_5024,0.5916000000000001,6,11.3,1.7400000000000002,0.3,6.464399999999998,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_18571,0.6666000000000002,6,11.3,2.420000000000001,0.3,7.274399999999997,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_18127,0.6666000000000002,6,11.3,2.2600000000000007,0.3,7.274399999999997,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_13019,0.6366000000000002,6,11.3,2.1000000000000005,0.3,6.9503999999999975,1.0,True,1.0,0.015000000000000013
RZE_cand_7284_cand_19793,0.6816000000000002,6,11.3,2.0200000000000005,0.3,7.436399999999997,1.0,True,1.0,0.015000000000000013
