name,i1,i2,i3,i4,o1,o2,candidate_efficiency,candidate_efficient,POZ_efficiency
RZE_cand_1894_cand_91,0.7332000000000001,6,11.3,2.88,0.3,13.293199999999995,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_92,0.7332000000000001,6,11.3,2.88,0.3,13.617199999999995,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_93,0.7332000000000001,6,11.3,2.88,0.3,13.941199999999995,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_94,0.7332000000000001,6,11.3,2.88,0.3,14.265199999999995,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_95,0.7332000000000001,6,11.3,2.88,0.3,14.589199999999995,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_96,0.7332000000000001,6,11.3,2.88,0.3,14.913199999999994,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_97,0.7332000000000001,6,11.3,2.88,0.3,15.237199999999994,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_98,0.7332000000000001,6,11.3,2.88,0.3,15.561199999999994,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_99,0.7332000000000001,6,11.3,2.88,0.3,15.885199999999994,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_100,0.7332000000000001,6,11.3,2.88,0.3,16.209199999999992,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_101,0.7332000000000001,6,11.3,2.88,0.3,16.533199999999994,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_102,0.7332000000000001,6,11.3,2.88,0.3,16.85719999999999,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_103,0.7332000000000001,6,11.3,2.88,0.3,17.181199999999993,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_104,0.7332000000000001,6,11.3,2.88,0.3,17.50519999999999,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_105,0.7332000000000001,6,11.3,2.88,0.3,17.829199999999993,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_106,0.7332000000000001,6,11.3,2.88,0.3,18.15319999999999,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_107,0.7332000000000001,6,11.3,2.88,0.3,18.477199999999993,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_108,0.7332000000000001,6,11.3,2.88,0.3,18.80119999999999,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_109,0.7332000000000001,6,11.3,2.88,0.3,19.125199999999992,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_110,0.7332000000000001,6,11.3,2.88,0.3,19.44919999999999,1.0000000000,true,1.0000000000
RZE_cand_1894_cand_111,0.7332000000000001,6,11.3,2.88,0.3,19.77319999999999,1.0000000000,true,1.0000000000
