candidate_name,i1,i2,i3,i4,o1,o2,candidate_efficiency,candidate_efficient,SZZ_efficiency,LCJ_efficiency,KAT_efficiency
RZE_resampled_151,0.2766916928,6.0000000000,11.3000000000,2.4410788559,0.3000000000,2.5674611285,1.0000000000,true,1.0000000000,0.8714740676,1.0000000000
RZE_resampled_152,0.3200000000,6.0000000000,11.3000000000,2.4200000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,0.9439960263,1.0000000000
RZE_resampled_153,0.3500000000,6.0000000000,11.3000000000,2.4500000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,0.9986413043,1.0000000000
RZE_resampled_154,0.3800000000,6.0000000000,11.3000000000,2.4800000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,1.0000000000,1.0000000000
RZE_resampled_155,0.2660979109,6.0000000000,11.3000000000,2.4706303492,0.3000000000,2.4643864455,1.0000000000,true,1.0000000000,0.8884697722,1.0000000000
RZE_resampled_156,0.3200000000,6.0000000000,11.3000000000,2.3800000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,0.9392517438,1.0000000000
RZE_resampled_158,0.3800000000,6.0000000000,11.3000000000,2.3200000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,1.0000000000,1.0000000000
RZE_resampled_159,0.3749122804,6.0000000000,11.3000000000,2.2805276859,0.3000000000,2.5657550172,1.0000000000,true,1.0000000000,1.0000000000,1.0000000000
RZE_resampled_160,0.3200000000,6.0000000000,11.3000000000,2.5000000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,0.9529145309,1.0000000000
RZE_resampled_161,0.3500000000,6.0000000000,11.3000000000,2.5000000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,1.0000000000,1.0000000000
RZE_resampled_162,0.3800000000,6.0000000000,11.3000000000,2.5000000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,1.0000000000,1.0000000000
RZE_resampled_163,0.2607113596,6.0000000000,11.3000000000,2.4949825424,0.3000000000,2.4673587944,1.0000000000,true,1.0000000000,0.8851231596,1.0000000000
RZE_resampled_167,0.2556605253,6.0000000000,11.3000000000,2.5979767626,0.3000000000,2.4998929104,1.0000000000,true,1.0000000000,0.8844487369,1.0000000000
RZE_resampled_168,0.3000000000,6.0000000000,11.3000000000,2.5200000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,0.9267102783,1.0000000000
RZE_resampled_169,0.3000000000,6.0000000000,11.3000000000,2.5500000000,0.3000000000,2.5000000000,1.0000000000,true,1.0000000000,0.9300164024,1.0000000000
