candidate_name,i1,i2,i3,i4,o1,o2,candidate_efficiency,candidate_efficient,SZZ_efficiency,LCJ_efficiency,KAT_efficiency
RZE_cand_54,0.0000000000,6.0000000000,11.3000000000,0.8000000000,0.3000000000,6.9000000000,1.0000000000,true,0.5238095238,0.4090909091,1.0000000000
RZE_cand_55,0.0000000000,6.0000000000,11.3000000000,0.8000000000,0.3000000000,7.1000000000,1.0000000000,true,0.5238095238,0.4090909091,1.0000000000
RZE_cand_56,0.0000000000,6.0000000000,11.3000000000,0.8000000000,0.3000000000,7.3000000000,1.0000000000,true,0.5238095238,0.4090909091,1.0000000000
RZE_cand_57,0.0000000000,6.0000000000,11.3000000000,0.8000000000,0.3000000000,7.5000000000,1.0000000000,true,0.5238095238,0.4090909091,1.0000000000
RZE_cand_58,0.0000000000,6.0000000000,11.3000000000,0.8000000000,0.3000000000,7.7000000000,1.0000000000,true,0.5238095238,0.4090909091,1.0000000000
RZE_cand_59,0.0000000000,6.0000000000,11.3000000000,0.8000000000,0.3000000000,7.9000000000,1.0000000000,true,0.5238095238,0.4090909091,1.0000000000
RZE_cand_60,0.0000000000,6.0000000000,11.3000000000,0.8000000000,0.3000000000,8.1000000000,1.0000000000,true,0.5238095238,0.4090909091,1.0000000000
RZE_cand_61,0.0000000000,6.0000000000,11.3000000000,0.8000000000,0.3000000000,8.3000000000,1.0000000000,true,0.5238095238,0.4090909091,1.0000000000
RZE_cand_62,0.0000000000,6.0000000000,11.3000000000,0.8000000000,0.3000000000,8.5000000000,1.0000000000,true,0.5238095238,0.4090909091,1.0000000000
RZE_cand_63,0.0000000000,6.0000000000,11.3000000000,0.9000000000,0.3000000000,2.5000000000,1.0000000000,true,0.8913987837,0.6672550750,1.0000000000
RZE_cand_64,0.0000000000,6.0000000000,11.3000000000,0.9000000000,0.3000000000,2.7000000000,1.0000000000,true,0.8450405930,0.6445012788,1.0000000000
RZE_cand_65,0.0000000000,6.0000000000,11.3000000000,0.9000000000,0.3000000000,2.9000000000,1.0000000000,true,0.8032658539,0.6232481451,1.0000000000
RZE_cand_66,0.0000000000,6.0000000000,11.3000000000,0.9000000000,0.3000000000,3.1000000000,1.0000000000,true,0.7654268358,0.6033519553,1.0000000000
RZE_cand_67,0.0000000000,6.0000000000,11.3000000000,0.9000000000,0.3000000000,3.3000000000,1.0000000000,true,0.7309923664,0.5846867749,1.0000000000
RZE_cand_68,0.0000000000,6.0000000000,11.3000000000,0.9000000000,0.3000000000,3.5000000000,1.0000000000,true,0.6995227428,0.5671417854,1.0000000000
RZE_cand_69,0.0000000000,6.0000000000,11.3000000000,0.9000000000,0.3000000000,3.7000000000,1.0000000000,true,0.6706508544,0.5506190823,1.0000000000
RZE_cand_70,0.0000000000,6.0000000000,11.3000000000,0.9000000000,0.3000000000,3.9000000000,1.0000000000,true,0.6440677966,0.5350318471,1.0000000000
RZE_cand_71,0.0000000000,6.0000000000,11.3000000000,0.9000000000,0.3000000000,4.1000000000,1.0000000000,true,0.6146341463,0.5121951220,1.0000000000
RZE_cand_72,0.0000000000,6.0000000000,11.3000000000,0.9000000000,0.3000000000,4.3000000000,1.0000000000,true,0.5879699248,0.4899749373,1.0000000000
RZE_cand_73,0.0000000000,6.0000000000,11.3000000000,0.9000000000,0.3000000000,4.5000000000,1.0000000000,true,0.5677852349,0.4731543624,1.0000000000
RZE_cand_74,0.0000000000,6.0000000000,11.3000000000,0.9000000000,0.3000000000,4.7000000000,1.0000000000,true,0.5515151515,0.4595959596,1.0000000000
RZE_cand_75,0.0000000000,6.0000000000,11.3000000000,0.9000000000,0.3000000000,4.9000000000,1.0000000000,true,0.5394321767,0.4484346225,1.0000000000
RZE_cand_76,0.0000000000,6.0000000000,11.3000000000,0.9000000000,0.3000000000,5.1000000000,1.0000000000,true,0.5394321767,0.4390862944,1.0000000000
RZE_cand_77,0.0000000000,6.0000000000,11.3000000000,0.9000000000,0.3000000000,5.3000000000,1.0000000000,true,0.5394321767,0.4311424100,1.0000000000
RZE_cand_78,0.0000000000,6.0000000000,11.3000000000,0.9000000000,0.3000000000,5.5000000000,1.0000000000,true,0.5394321767,0.4243085881,1.0000000000
RZE_cand_79,0.0000000000,6.0000000000,11.3000000000,0.9000000000,0.3000000000,5.7000000000,1.0000000000,true,0.5394321767,0.4183673469,1.0000000000
RZE_cand_80,0.0000000000,6.0000000000,11.3000000000,0.9000000000,0.3000000000,5.9000000000,1.0000000000,true,0.5394321767,0.4131545338,1.0000000000
RZE_cand_81,0.0000000000,6.0000000000,11.3000000000,0.9000000000,0.3000000000,6.1000000000,1.0000000000,true,0.5394321767,0.4090909091,1.0000000000
RZE_cand_82,0.0000000000,6.0000000000,11.3000000000,0.9000000000,0.3000000000,6.3000000000,1.0000000000,true,0.5394321767,0.4090909091,1.0000000000
RZE_cand_83,0.0000000000,6.0000000000,11.3000000000,0.9000000000,0.3000000000,6.5000000000,1.0000000000,true,0.5394321767,0.4090909091,1.0000000000
