candidate_name,i1,i2,i3,i4,o1,o2,candidate_efficiency,candidate_efficient,SZZ_efficiency,LCJ_efficiency,KAT_efficiency,boundary_flag
RZE_resampled_779,0.5000654874,6.0,11.3,1.862099671,0.3,2.5546862261,0.8998821382,False,1.0,1.0,1.0,True
RZE_resampled_785,0.45,6.0,11.3,1.8,0.3,2.7,1.0,True,1.0,1.0,1.0,True
RZE_resampled_786,0.48,6.0,11.3,1.8,0.3,2.7,0.95,False,1.0,1.0,1.0,True
RZE_resampled_793,0.45,6.0,11.3,1.85,0.3,2.7,1.0,True,1.0,1.0,1.0,True
RZE_resampled_794,0.48,6.0,11.3,1.88,0.3,2.7,0.95,False,1.0,1.0,1.0,True
RZE_resampled_795,0.4764362877,6.0,11.3,1.8318850044,0.3,2.6170321706,0.9445124387,False,1.0,1.0,1.0,True
RZE_resampled_798,0.48,6.0,11.3,1.72,0.3,2.7,0.95,False,1.0,1.0,1.0,True
RZE_resampled_805,0.45,6.0,11.3,1.8,0.3,2.9,1.0,True,1.0,1.0,1.0,True
RZE_resampled_806,0.48,6.0,11.3,1.8,0.3,2.9,0.99,False,1.0,1.0,1.0,True
RZE_resampled_807,0.4798433885,6.0,11.3,1.7131602224,0.3,2.9103656934,0.9980760196,False,1.0,1.0,1.0,True
RZE_resampled_813,0.45,6.0,11.3,1.85,0.3,2.9,1.0,True,1.0,1.0,1.0,True
RZE_resampled_814,0.48,6.0,11.3,1.88,0.3,2.9,0.99,False,1.0,1.0,1.0,True
RZE_resampled_816,0.42,6.0,11.3,1.78,0.3,2.9,1.0,True,1.0,1.0,1.0,True
RZE_resampled_818,0.48,6.0,11.3,1.72,0.3,2.9,0.9939222615,False,1.0,1.0,1.0,True
RZE_resampled_826,0.48,6.0,11.3,1.8,0.3,3.1,1.0,True,1.0,1.0,1.0,True
RZE_resampled_834,0.48,6.0,11.3,1.88,0.3,3.1,1.0,True,1.0,1.0,1.0,True
RZE_resampled_838,0.48,6.0,11.3,1.72,0.3,3.1,1.0,True,1.0,1.0,1.0,True
RZE_resampled_883,0.4850800277,6.0,11.3,1.8838535722,0.3,2.4662497739,0.9276819788,False,1.0,1.0,1.0,True
RZE_resampled_884,0.42,6.0,11.3,1.9,0.3,2.5,1.0,True,1.0,1.0,1.0,True
RZE_resampled_885,0.45,6.0,11.3,1.9,0.3,2.5,1.0,True,1.0,1.0,1.0,True
RZE_resampled_886,0.48,6.0,11.3,1.9,0.3,2.5,0.9375,False,1.0,1.0,1.0,True
RZE_resampled_891,0.4315786648,6.0,11.3,1.9019101794,0.3,2.4979707913,1.0,True,1.0,1.0,1.0,True
RZE_resampled_898,0.48,6.0,11.3,1.82,0.3,2.5,0.9375,False,1.0,1.0,1.0,True
RZE_resampled_905,0.45,6.0,11.3,1.9,0.3,2.7,1.0,True,1.0,1.0,1.0,True
RZE_resampled_906,0.48,6.0,11.3,1.9,0.3,2.7,0.95,False,1.0,1.0,1.0,True
RZE_resampled_914,0.48,6.0,11.3,1.82,0.3,2.7,0.95,False,1.0,1.0,1.0,True
RZE_resampled_917,0.45,6.0,11.3,1.95,0.3,2.7,1.0,True,1.0,1.0,1.0,True
RZE_resampled_918,0.48,6.0,11.3,1.98,0.3,2.7,0.95,False,1.0,1.0,1.0,True
RZE_resampled_923,0.4827054732,6.0,11.3,1.8650309362,0.3,2.8495882653,0.9744253993,False,1.0,1.0,1.0,True
RZE_resampled_924,0.42,6.0,11.3,1.9,0.3,2.9,1.0,True,1.0,1.0,1.0,True
RZE_resampled_925,0.45,6.0,11.3,1.9,0.3,2.9,1.0,True,1.0,1.0,1.0,True
RZE_resampled_926,0.48,6.0,11.3,1.9,0.3,2.9,0.99,False,1.0,1.0,1.0,True
RZE_resampled_932,0.42,6.0,11.3,1.88,0.3,2.9,1.0,True,1.0,1.0,1.0,True
RZE_resampled_934,0.48,6.0,11.3,1.82,0.3,2.9,0.99,False,1.0,1.0,1.0,True
