name,i1,i2,i3,i4,o1,o2,candidate_efficiency,candidate_efficient,LCJ_efficiency
RZE__to__LCJ_cand_195,0.4,6,11.3,3.480000000000001,0.3,4.2,1.0000000000,true,0.8923076923
RZE__to__LCJ_cand_196,0.4,6,11.3,3.480000000000001,0.3,4.34,1.0000000000,true,0.8923076923
RZE__to__LCJ_cand_197,0.4,6,11.3,3.480000000000001,0.3,4.76,1.0000000000,true,0.8923076923
RZE__to__LCJ_cand_198,0.4,6,11.3,3.480000000000001,0.3,5.18,1.0000000000,true,0.8923076923
RZE__to__LCJ_cand_199,0.4,6,11.3,3.480000000000001,0.3,5.6,1.0000000000,true,0.8923076923
RZE__to__LCJ_cand_200,0.4,6,11.3,3.870000000000001,0.3,2.24,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_201,0.4,6,11.3,3.870000000000001,0.3,2.66,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_202,0.4,6,11.3,3.870000000000001,0.3,3.08,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_203,0.4,6,11.3,3.870000000000001,0.3,3.5,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_204,0.4,6,11.3,3.870000000000001,0.3,3.92,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_205,0.4,6,11.3,3.870000000000001,0.3,4.2,1.0000000000,true,0.9923076923
RZE__to__LCJ_cand_206,0.4,6,11.3,3.870000000000001,0.3,4.34,1.0000000000,true,0.9923076923
RZE__to__LCJ_cand_207,0.4,6,11.3,3.870000000000001,0.3,4.76,1.0000000000,true,0.9923076923
RZE__to__LCJ_cand_208,0.4,6,11.3,3.870000000000001,0.3,5.18,1.0000000000,true,0.9923076923
RZE__to__LCJ_cand_209,0.4,6,11.3,3.870000000000001,0.3,5.6,1.0000000000,true,0.9923076923
RZE__to__LCJ_cand_210,0.4,6,11.3,3.9,0.3,2.24,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_211,0.4,6,11.3,3.9,0.3,2.66,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_212,0.4,6,11.3,3.9,0.3,3.08,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_213,0.4,6,11.3,3.9,0.3,3.5,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_214,0.4,6,11.3,3.9,0.3,3.92,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_215,0.4,6,11.3,3.9,0.3,4.2,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_216,0.4,6,11.3,3.9,0.3,4.34,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_217,0.4,6,11.3,3.9,0.3,4.76,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_218,0.4,6,11.3,3.9,0.3,5.18,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_219,0.4,6,11.3,3.9,0.3,5.6,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_220,0.4,6,11.3,4.260000000000002,0.3,2.24,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_221,0.4,6,11.3,4.260000000000002,0.3,2.66,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_222,0.4,6,11.3,4.260000000000002,0.3,3.08,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_223,0.4,6,11.3,4.260000000000002,0.3,3.5,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_224,0.4,6,11.3,4.260000000000002,0.3,3.92,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_225,0.4,6,11.3,4.260000000000002,0.3,4.2,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_226,0.4,6,11.3,4.260000000000002,0.3,4.34,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_227,0.4,6,11.3,4.260000000000002,0.3,4.76,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_228,0.4,6,11.3,4.260000000000002,0.3,5.18,1.0000000000,true,1.0000000000
RZE__to__LCJ_cand_229,0.4,6,11.3,4.260000000000002,0.3,5.6,1.0000000000,true,1.0000000000
