name,i1,i2,i3,i4,o1,o2,candidate_efficiency,candidate_efficient,WRO_efficiency,min_distance_to_false
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_1865,2.724000000000001,6,11.3,3.715,0.3,10.990000000000002,1.0,True,1.0,1.8799999999999972
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_1880,2.724000000000001,6,11.3,4.015000000000001,0.3,10.990000000000002,1.0,True,1.0,1.8799999999999972
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_2045,2.8620000000000005,6,11.3,3.115,0.3,10.990000000000002,1.0,True,1.0,1.8799999999999972
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_2720,3.6792000000000007,6,11.3,4.015000000000001,0.3,10.990000000000002,1.0,True,1.0,1.8799999999999972
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_1655,2.5896000000000003,6,11.3,3.715,0.3,10.990000000000002,1.0,True,1.0,1.8799999999999972
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_2090,2.8620000000000005,6,11.3,4.015000000000001,0.3,10.990000000000002,1.0,True,1.0,1.8799999999999972
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_2495,3.406800000000001,6,11.3,3.715,0.3,10.990000000000002,1.0,True,1.0,1.8799999999999972
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_2465,3.406800000000001,6,11.3,3.115,0.3,10.990000000000002,1.0,True,1.0,1.8799999999999972
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_2480,3.406800000000001,6,11.3,3.415,0.3,10.990000000000002,1.0,True,1.0,1.8799999999999972
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_2705,3.6792000000000007,6,11.3,3.715,0.3,10.990000000000002,1.0,True,1.0,1.8799999999999972
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_1625,2.5896000000000003,6,11.3,3.115,0.3,10.990000000000002,1.0,True,1.0,1.8799999999999972
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_1445,2.3172,6,11.3,3.715,0.3,10.990000000000002,1.0,True,1.0,1.8996320064686185
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_1430,2.3172,6,11.3,3.415,0.3,10.990000000000002,1.0,True,1.0,1.8996320064686185
RZE__to__KAT_cand_2309__to__POZ_cand_2469__to__WRO_cand_1835,2.724000000000001,6,11.3,3.115,0.3,10.990000000000002,1.0,True,1.0,1.9037857022259594
