name,i1,i2,i3,i4,o1,o2,candidate_efficiency,candidate_efficient,RZE_efficiency,IEG_efficiency
RZE_cand_111_cand_89,0.22999999999999998,6,11.3,2.0479999999999996,0.3,4.047750000000001,1.0000000000,true,1.0000000000,0.3466123155
RZE_cand_111_cand_90,0.22999999999999998,6,11.3,2.1979999999999995,0.3,3.084,1.0000000000,true,1.0000000000,0.4549286641
RZE_cand_111_cand_91,0.22999999999999998,6,11.3,2.1979999999999995,0.3,3.2767500000000003,1.0000000000,true,1.0000000000,0.4281681544
RZE_cand_111_cand_92,0.22999999999999998,6,11.3,2.1979999999999995,0.3,3.4695000000000005,1.0000000000,true,1.0000000000,0.4043810347
RZE_cand_111_cand_93,0.22999999999999998,6,11.3,2.1979999999999995,0.3,3.6622500000000007,1.0000000000,true,1.0000000000,0.3830978224
RZE_cand_111_cand_94,0.22999999999999998,6,11.3,2.1979999999999995,0.3,3.855000000000001,1.0000000000,true,1.0000000000,0.3639429313
RZE_cand_111_cand_95,0.22999999999999998,6,11.3,2.1979999999999995,0.3,4.047750000000001,1.0000000000,true,1.0000000000,0.3466123155
RZE_cand_111_cand_96,0.27999999999999997,6,11.3,1.7479999999999998,0.3,3.084,1.0000000000,true,1.0000000000,0.5538261997
RZE_cand_111_cand_97,0.27999999999999997,6,11.3,1.7479999999999998,0.3,3.2767500000000003,1.0000000000,true,1.0000000000,0.5212481880
RZE_cand_111_cand_98,0.27999999999999997,6,11.3,1.7479999999999998,0.3,3.4695000000000005,1.0000000000,true,1.0000000000,0.4922899553
RZE_cand_111_cand_99,0.27999999999999997,6,11.3,1.7479999999999998,0.3,3.6622500000000007,1.0000000000,true,1.0000000000,0.4663799577
RZE_cand_111_cand_100,0.27999999999999997,6,11.3,1.7479999999999998,0.3,3.855000000000001,1.0000000000,true,1.0000000000,0.4430609598
RZE_cand_111_cand_101,0.27999999999999997,6,11.3,1.7479999999999998,0.3,4.047750000000001,1.0000000000,true,1.0000000000,0.4219628188
RZE_cand_111_cand_102,0.27999999999999997,6,11.3,1.8979999999999997,0.3,3.084,1.0000000000,true,1.0000000000,0.5538261997
RZE_cand_111_cand_103,0.27999999999999997,6,11.3,1.8979999999999997,0.3,3.2767500000000003,1.0000000000,true,1.0000000000,0.5212481880
RZE_cand_111_cand_104,0.27999999999999997,6,11.3,1.8979999999999997,0.3,3.4695000000000005,1.0000000000,true,1.0000000000,0.4922899553
RZE_cand_111_cand_105,0.27999999999999997,6,11.3,1.8979999999999997,0.3,3.6622500000000007,1.0000000000,true,1.0000000000,0.4663799577
RZE_cand_111_cand_106,0.27999999999999997,6,11.3,1.8979999999999997,0.3,3.855000000000001,1.0000000000,true,1.0000000000,0.4430609598
RZE_cand_111_cand_107,0.27999999999999997,6,11.3,1.8979999999999997,0.3,4.047750000000001,1.0000000000,true,1.0000000000,0.4219628188
